solver,time,file,result
utopia,54.237918853759766,../testfiles/competitions/2011/application/SAT07/industrial/vliw_sat_4.0/9vliw_m_9stages_iq3_C1_bug5.cnf.bz2,SATISFIABLE
utopia,558.7853920459747,../testfiles/competitions/2011/application/SAT09/APPLICATIONS/diagnosis/ACG-10-10p0.cnf.bz2,UNSATISFIABLE
utopia,58.28786897659302,../testfiles/competitions/2011/application/SAT_RACE06/velev-pipe-o-uns-1.1-6.cnf.bz2,UNSATISFIABLE
utopia,58.48083519935608,../testfiles/competitions/2011/application/SAT03/industrial/simon/sat02/6pipe_6_ooo.shuffled-as.sat03-413.cnf.bz2,UNSATISFIABLE
utopia,6.052850961685181,../testfiles/competitions/2011/application/SAT07/industrial/babic/hsatv17/hsat_vc12062.cnf.bz2,UNSATISFIABLE
utopia,6.466230869293213,../testfiles/competitions/2011/application/SAT11/application/jarvisalo/smtqfbv-aigs/smtlib-qfbv-aigs-ext_con_032_008_0256-tseitin.cnf.bz2,UNSATISFIABLE
utopia,64.40040874481201,../testfiles/competitions/2011/application/SAT07/industrial/vliw_sat_4.0/9vliw_m_9stages_iq3_C1_bug6.cnf.bz2,SATISFIABLE
utopia,65.1092700958252,../testfiles/competitions/2011/application/SAT_RACE08/Q1/SAT_dat.k80_04.cnf.bz2,SATISFIABLE
utopia,66.44534707069397,../testfiles/competitions/2011/application/SAT05/industrial/grieu05/vmpc/vmpc_25.renamed-as.sat05-1913.cnf.bz2,SATISFIABLE
utopia,673.2420039176941,../testfiles/competitions/2011/application/SAT07/industrial/IBM_FV_2002_13_rule_1/SAT_dat.k100.cnf.bz2,UNSATISFIABLE
utopia,68.94897389411926,../testfiles/competitions/2011/application/SAT11/application/jarvisalo/AAAI2010-SATPlanning/aaai10-planning-ipc5-pipesworld-27-step14.cnf.bz2,SATISFIABLE
utopia,69.17862701416016,../testfiles/competitions/2011/application/SAT05/industrial/grieu05/vmpc/vmpc_32.renamed-as.sat05-1919.cnf.bz2,SATISFIABLE
utopia,7.442615032196045,../testfiles/competitions/2011/application/SAT02/industrial/goldberg/rand_net/rand_net60-25-10.shuffled.cnf.bz2,UNSATISFIABLE
utopia,70.18041276931763,../testfiles/competitions/2011/application/SAT11/application/leberre/2dimensionalstrippacking/E05F20.cnf.bz2,SATISFIABLE
utopia,76.01418209075928,../testfiles/competitions/2011/application/SAT11/application/rintanen/SATPlanning/blocks-blocks-36-0.170-NOTKNOWN.cnf.bz2,SATISFIABLE
utopia,78.61243009567261,../testfiles/competitions/2011/application/SAT11/application/jarvisalo/HWMCC10-combination-timeframe-expansion/hwmcc10-timeframe-expansion-k45-pdtswvrod6x8p1-tseitin.cnf.bz2,UNSATISFIABLE
utopia,789.0153291225433,../testfiles/competitions/2011/application/SAT11/application/jarvisalo/smtqfbv-aigs/smtlib-qfbv-aigs-lfsr_008_079_112-tseitin.cnf.bz2,UNSATISFIABLE
utopia,8.8590567111969,../testfiles/competitions/2011/application/SAT04/industrial/velev/pipe-sat-1-1/12pipe_bug4_q0.used-as.sat04-723.cnf.bz2,SATISFIABLE
utopia,80.3520188331604,../testfiles/competitions/2011/application/SAT11/application/jarvisalo/HWMCC10-combination-timeframe-expansion/hwmcc10-timeframe-expansion-k45-pdtswvtms14x8p1-tseitin.cnf.bz2,UNSATISFIABLE
utopia,85.29692006111145,../testfiles/competitions/2011/application/SAT04/industrial/hoonsang/vis-bmc/all.used-as.sat04-986.cnf.bz2,UNSATISFIABLE
utopia,9.208845138549805,../testfiles/competitions/2011/application/SAT09/APPLICATIONS/diagnosis/UTI-20-10t0.cnf.bz2,UNSATISFIABLE
utopia,9.224702835083008,../testfiles/competitions/2011/application/SAT09/APPLICATIONS/diagnosis/UTI-20-10t1.cnf.bz2,SATISFIABLE
utopia,915.4907946586608,../testfiles/competitions/2011/application/SAT11/application/kullmann/AES/Benchmarks/64/aes_64_1_keyfind_1.cnf.bz2,SATISFIABLE
utopia,92.88492012023926,../testfiles/competitions/2011/application/SAT11/application/leberre/2dimensionalstrippacking/E04F20.cnf.bz2,SATISFIABLE
utopia,965.5976350307463,../testfiles/competitions/2011/application/SAT09/APPLICATIONS/bitverif/maxxor/maxxor032.cnf.bz2,UNSATISFIABLE
utopia,988.6749620437622,../testfiles/competitions/2011/application/SAT_RACE08/cnf/ibm-2002-30r-k85.cnf.bz2,SATISFIABLE
utopia,inf,../testfiles/competitions/2011/application/SAT07/industrial/crypto/mizh-sha0-36-2.cnf.bz2,inf
utopia,inf,../testfiles/competitions/2011/application/SAT07/industrial/palacios/hard/sortnet-7-ipc5-h15-unsat.cnf.bz2,inf
utopia,inf,../testfiles/competitions/2011/application/SAT07/industrial/palacios/hard/sortnet-8-ipc5-h19-sat.cnf.bz2,inf
utopia,inf,../testfiles/competitions/2011/application/SAT07/industrial/palacios/medium/cube-11-h14-sat.cnf.bz2,inf
utopia,inf,../testfiles/competitions/2011/application/SAT07/industrial/vliw_unsat_2.0/9dlx_vliw_at_b_iq7.cnf.bz2,inf
utopia,inf,../testfiles/competitions/2011/application/SAT07/industrial/jarvisalo/eq.atree.braun.12.unsat.cnf.bz2,inf
utopia,inf,../testfiles/competitions/2011/application/SAT07/industrial/jarvisalo/eq.atree.braun.11.unsat.cnf.bz2,inf
utopia,inf,../testfiles/competitions/2011/application/SAT07/industrial/IBM_FV_2004_30/IBM_FV_2004_rule_batch_30_SAT_dat.k55.cnf.bz2,inf
utopia,inf,../testfiles/competitions/2011/application/SAT07/industrial/IBM_FV_2004_30/IBM_FV_2004_rule_batch_30_SAT_dat.k80.cnf.bz2,inf
utopia,inf,../testfiles/competitions/2011/application/SAT07/industrial/anbulagan/hard-unsat/partial-5-11-u.cnf.bz2,inf
utopia,inf,../testfiles/competitions/2011/application/SAT07/industrial/anbulagan/hard-unsat/total-10-17-u.cnf.bz2,inf
utopia,inf,../testfiles/competitions/2011/application/SAT07/industrial/anbulagan/hard-unsat/dated-5-13-u.cnf.bz2,inf
utopia,inf,../testfiles/competitions/2011/application/SAT07/industrial/anbulagan/hard-unsat/dated-10-17-u.cnf.bz2,inf
utopia,inf,../testfiles/competitions/2011/application/SAT07/industrial/anbulagan/hard-sat/partial-10-13-s.cnf.bz2,inf
utopia,inf,../testfiles/competitions/2011/application/SAT07/industrial/anbulagan/hard-sat/partial-10-15-s.cnf.bz2,inf
utopia,inf,../testfiles/competitions/2011/application/SAT07/industrial/anbulagan/hard-sat/partial-10-17-s.cnf.bz2,inf
utopia,inf,../testfiles/competitions/2011/application/SAT07/industrial/IBM_FV_2002_13_rule_1/SAT_dat.k20.cnf.bz2,inf
utopia,inf,../testfiles/competitions/2011/application/SAT07/industrial/fuhs/hard/AProVE07-01.cnf.bz2,inf
utopia,inf,../testfiles/competitions/2011/application/SAT09/APPLICATIONS/crypto/md5gen/gus-md5-12.cnf.bz2,inf
utopia,inf,../testfiles/competitions/2011/application/SAT09/APPLICATIONS/crypto/md5gen/gus-md5-11.cnf.bz2,inf
utopia,inf,../testfiles/competitions/2011/application/SAT09/APPLICATIONS/crypto/desgen/gss-22-s100.cnf.bz2,inf
utopia,inf,../testfiles/competitions/2011/application/SAT09/APPLICATIONS/crypto/desgen/gss-19-s100.cnf.bz2,inf
utopia,inf,../testfiles/competitions/2011/application/SAT09/APPLICATIONS/crypto/desgen/gss-27-s100.cnf.bz2,inf
utopia,inf,../testfiles/competitions/2011/application/SAT09/APPLICATIONS/crypto/desgen/gss-16-s100.cnf.bz2,inf
utopia,inf,../testfiles/competitions/2011/application/SAT09/APPLICATIONS/crypto/desgen/gss-21-s100.cnf.bz2,inf
utopia,inf,../testfiles/competitions/2011/application/SAT09/APPLICATIONS/c32sat/post-c32s-gcdm16-23.cnf.bz2,inf
utopia,inf,../testfiles/competitions/2011/application/SAT09/APPLICATIONS/bioinfo/q_query_3_l46_lambda.cnf.bz2,inf
utopia,inf,../testfiles/competitions/2011/application/SAT09/APPLICATIONS/bioinfo/q_query_3_L150_coli.sat.cnf.bz2,inf
utopia,inf,../testfiles/competitions/2011/application/SAT09/APPLICATIONS/bioinfo/q_query_3_L70_coli.sat.cnf.bz2,inf
utopia,inf,../testfiles/competitions/2011/application/SAT09/APPLICATIONS/bitverif/mulhs/mulhs016.cnf.bz2,inf
utopia,inf,../testfiles/competitions/2011/application/SAT09/APPLICATIONS/bitverif/minandmaxor/minandmaxor128.cnf.bz2,inf
utopia,inf,../testfiles/competitions/2011/application/SAT09/APPLICATIONS/bitverif/maxxororand/maxxororand064.cnf.bz2,inf
utopia,inf,../testfiles/competitions/2011/application/SAT09/APPLICATIONS/bitverif/countbitsrotate/countbitsrotate032.cnf.bz2,inf
utopia,inf,../testfiles/competitions/2011/application/SAT09/APPLICATIONS/bitverif/countbitssrl/countbitssrl064.cnf.bz2,inf
utopia,inf,../testfiles/competitions/2011/application/SAT09/APPLICATIONS/bitverif/countbitswegner/countbitswegner128.cnf.bz2,inf
